Cod_Febraban,Seg_Febraban,Nome_Convênio,CNPJ,Grade,Descricao_Conv,
0661,2,SAAEB BROTAS,7104377000130,"Estendida, até 23:59",SANEAMENTO
0000,7,SAO PAULO-MULTA,46392155000111,"Estendida, até 23:59",MULTAS DE TRANSITO,
0203,7,PM ANDRADAS MULTAS,17884412000134,"Estendida, até 23:59",MULTAS DE TRANSITO,
0268,7,PM ARACATUBA MULTAS,45511847000179,"Estendida, até 23:59",MULTAS DE TRANSITO,
0375,7,PM ATIBAIA-MULTAS,45279635000108,"Estendida, até 23:59",MULTAS DE TRANSITO,
0440,7,PM BARBACENA-MULTAS,17095043000109,"Estendida, até 23:59",MULTAS DE TRANSITO,
0521,7,FUNDO TRANS URBANOS,18715383000140,"Estendida, até 23:59",MULTAS DE TRANSITO,
0545,7,PM BETIM-MULTAS,74077025000120,"Estendida, até 23:59",MULTAS DE TRANSITO,
0789,7,PM CAIEIRAS MULTAS,46523064000178,"Estendida, até 23:59",MULTAS DE TRANSITO,
1190,7,PM CONGONHAS,16752446000102,"Estendida, até 23:59",MULTAS DE TRANSITO,
1194,7,PM C LAFAIETE-MULTAS,19718360000151,"Estendida, até 23:59",MULTAS DE TRANSITO,
1376,7,DIVINOPOLIS MULTAS,18291351000164,"Estendida, até 23:59",MULTAS DE TRANSITO,
1451,7,PREF MUN EMBU GUAÇU - MULTAS DE TRÂNSITO,46523148000101,"Estendida, até 23:59",MULTAS DE TRANSITO,
1451,7,PM Ebu Guaçu (SP) - multas,46523148000101,"Estendida, até 23:59",MULTAS DE TRANSITO,
1562,7,MULTAS FERRAZ VASCON,46523197000144,"Estendida, até 23:59",MULTAS DE TRANSITO,
1703,7,PM GOV VALADARESE MU,20622890000180,"Estendida, até 23:59",MULTAS DE TRANSITO,
1770,7,PM GUARAREMA-MULTAS,46523262000131,"Estendida, até 23:59",MULTAS DE TRANSITO,
1810,7,PM HORTOLANDIA MULTA,67995027000132,"Estendida, até 23:59",MULTAS DE TRANSITO,
1859,7,PM IBIRITE MULTAS,18715490000178,"Estendida, até 23:59",MULTAS DE TRANSITO,
1953,7,IPATINGA MULTAS,19876424000142,"Estendida, até 23:59",MULTAS DE TRANSITO,
2012,7,PM Itabira (SP) - multas,18299446000124,"Estendida, até 23:59",MULTAS DE TRANSITO,
2048,7,ITAJUBA-MULTA,18025940000109,"Estendida, até 23:59",MULTAS DE TRANSITO,
2080,7,PM ITAPECERICA MULTA,46523130000100,"Estendida, até 23:59",MULTAS DE TRANSITO,
2091,7,PM ITAPEVI MULTA,46523031000128,"Estendida, até 23:59",MULTAS DE TRANSITO,
2126,7,ITATIBA-MULTAS,50122571000177,"Estendida, até 23:59",MULTAS DE TRANSITO,
2319,7,PMJUNDIAI MULTA,45780103000150,"Estendida, até 23:59",MULTAS DE TRANSITO,
2431,7,PM LIMEIRA-MULTA,45132495000140,"Estendida, até 23:59",MULTAS DE TRANSITO,
2506,7,PM MAIRIPORA-MULTAS,46523163000150,"Estendida, até 23:59",MULTAS DE TRANSITO,
2581,7,PM MARIANA-MULTAS,18295303000144,"Estendida, até 23:59",MULTAS DE TRANSITO,
3011,7,PM OSASCO MULTA,46523171000104,"Estendida, até 23:59",MULTAS DE TRANSITO,
3014,7,PM O CRUZ MULTAS,53300356000107,"Estendida, até 23:59",MULTAS DE TRANSITO,
3173,7,PM PATROCINIO-MULTA,18468033000126,"Estendida, até 23:59",MULTAS DE TRANSITO,
3394,7,POCOS CALDA MULTA,18629840000183,"Estendida, até 23:59",MULTAS DE TRANSITO,
3415,7,PM PONTE NOVA-MULTA,23804149000129,"Estendida, até 23:59",MULTAS DE TRANSITO,
3466,7,POUSO ALEGRE-MULTA,18675983000121,"Estendida, até 23:59",MULTAS DE TRANSITO,
3475,7,SETRAN PRAIA GRANDE,46177531000155,"Estendida, até 23:59",MULTAS DE TRANSITO,
3627,7,PM RIB NEVES-MULTAS,18314609000109,"Estendida, até 23:59",MULTAS DE TRANSITO,
3659,7,PM RIO JANEIRO MULTA,42498733000148,"Estendida, até 23:59",MULTAS DE TRANSITO,
3738,7,PM SABARA MULTAS,18715441000135,"Estendida, até 23:59",MULTAS DE TRANSITO,
3776,7,TRANSALVADOR,10603491000119,"Estendida, até 23:59",MULTAS DE TRANSITO,
3791,7,PREF MUN STA BARBARA D'OESTE MULTAS,45289329000152,"Estendida, até 23:59",MULTAS DE TRANSITO,
3846,7,MULTA PM S LUZIA,18715409000150,"Estendida, até 23:59",MULTAS DE TRANSITO,
3884,7,PM S RITA SAPUCAI MU,18192898000102,"Estendida, até 23:59",MULTAS DE TRANSITO,
4158,7,PM S JOSE MULTAS,46643466000106,"Estendida, até 23:59",MULTAS DE TRANSITO,
4261,7,PM São Vicente (SP) - multas,46177523000109,"Estendida, até 23:59",MULTAS DE TRANSITO,
4404,7,MULTA PM SOROCABA,46634044000174,"Estendida, até 23:59",MULTAS DE TRANSITO,
4414,7,PM SUMARE MULTAS,45787660000100,"Estendida, até 23:59",MULTAS DE TRANSITO,
4424,7,PM TABOAO MULTAS,46523122000163,"Estendida, até 23:59",MULTAS DE TRANSITO,
4510,7,PM T.OTONI-MULTA,18404780000109,"Estendida, até 23:59",MULTAS DE TRANSITO,
4544,7,PM TIRADENTES MULTAS,18557579000153,"Estendida, até 23:59",MULTAS DE TRANSITO,
4573,7,PM TRES CORACOES-MUL,17955535000119,"Estendida, até 23:59",MULTAS DE TRANSITO,
4581,7,TRES PONTAS-MULTAS,18245167000188,"Estendida, até 23:59",MULTAS DE TRANSITO,
4630,7,UBA MULTAS DE TRANSI,18128207000101,"Estendida, até 23:59",MULTAS DE TRANSITO,
4750,7,PM VICOSA-MULTA,18132449000179,"Estendida, até 23:59",MULTAS DE TRANSITO,
5827,7,MULTA ESTADUAL MG,18715615000160,"Estendida, até 23:59",MULTAS DE TRANSITO,
5828,7,MULTA DER MG,18715615000160,"Estendida, até 23:59",MULTAS DE TRANSITO,
2285,7,PM João Monlevade (MG) - multas,18401059000157,"Estendida, até 23:59",MULTAS DE TRANSITO,
3980,7,CET SANTOS,00.034.616/0001-83,"Estendida, até 23:59",MULTAS DE TRANSITO,
0023,6,PAGNOMINAL-MAIS DOMI,235318000151,"Estendida, até 23:59",OUTROS,
0035,6,INFRAERO,352294000110,"Estendida, até 23:59",OUTROS,
0061,6,PROCON RIO VERDE,618216000115,"Estendida, até 23:59",OUTROS,
0112,6,DAWLOG,1122809000159,"Estendida, até 23:59",OUTROS,
0116,6,FMMA LUZIANIA GO,47317398000158,"Estendida, até 23:59",OUTROS,
0209,6,ASSOC N S FATIMA,2090452000137,"Estendida, até 23:59",OUTROS,
0279,6,ASSOC MARIA REGINA C,2796785000186,"Estendida, até 23:59",OUTROS,
0282,6,ASSC N SRA GRACAS,2829831000104,"Estendida, até 23:59",OUTROS,
0398,6,ASSOC ARAUTOS,3988329000109,"Estendida, até 23:59",OUTROS,
0424,6,FDO MUN SAUDE SJOAOA,4244525000123,"Estendida, até 23:59",OUTROS,
0605,6,IPARV RIO VERDE,6052569000187,"Estendida, até 23:59",OUTROS,
0755,6,FUNDO SAUDE-LUZIANIA,7556717000163,"Estendida, até 23:59",OUTROS,
0924,6,DPVAT-LIDER,9248608000104,"Estendida, até 23:59",OUTROS,
1029,6,SMT URUACU,10298905000143,"Estendida, até 23:59",OUTROS,
1452,6,A.VIRACOPOS,14522178000107,"Estendida, até 23:59",OUTROS,
1557,6,A.GUARULHOS,15578569000106,"Estendida, até 23:59",OUTROS,
1717,6,COHAB-MG,17161837000115,"Estendida, até 23:59",OUTROS,
1967,6,A.CONFINS,19674909000153,"Estendida, até 23:59",OUTROS,
1972,6,A. GALEAO,19726111000108,"Estendida, até 23:59",OUTROS,
2462,6,PAG LOGISTICA,24620316000144,"Estendida, até 23:59",OUTROS,
2705,6,AEROPORTO FORTALEZA,27059565000109,"Estendida, até 23:59",OUTROS,
2705,6,AEROPORTO POA,27059460000141,"Estendida, até 23:59",OUTROS,
2784,6,AER HERCILIO LUZ,27844178000175,"Estendida, até 23:59",OUTROS,
2795,6,AER SALVADOR,27950582000123,"Estendida, até 23:59",OUTROS,
3228,6,PORTO SECO PONTA NEG,32286515000196,"Estendida, até 23:59",OUTROS,
3362,6,DPVAT,33623893000180,"Estendida, até 23:59",OUTROS,
4213,6,CCR BLOCO SUL,42130537000116,"Estendida, até 23:59",OUTROS,
4220,6,CCR AEROPORTOS BL CE,42206269000179,"Estendida, até 23:59",OUTROS,
4254,6,AEROPORTOS AMAZONIA,42548035000100,"Estendida, até 23:59",OUTROS,
4641,6,AEROPORTO S JOSE CPO,46411098000170,"Estendida, até 23:59",OUTROS,
6075,6,SOC FAMILIA PROPRIED,60758505000141,"Estendida, até 23:59",OUTROS,
0004,2,CAER,5939467000115,"Estendida, até 23:59",SANEAMENTO,
0005,2,CAERD,5914254000139,"Estendida, até 23:59",SANEAMENTO,
0007,2,CAESA,5976311000104,"Estendida, até 23:59",SANEAMENTO,
0009,2,CAGECE,7040108000157,"Estendida, até 23:59",SANEAMENTO,
0013,2,CASAN,82508433000117,"Estendida, até 23:59",SANEAMENTO,
0015,2,CESAMA,21572243000174,"Estendida, até 23:59",SANEAMENTO,
0016,2,CESAN,28151363000147,"Estendida, até 23:59",SANEAMENTO,
0017,2,Codau (MG),25433004000194,"Estendida, até 23:59",SANEAMENTO,
0018,2,COMPESA,9769035000164,"Estendida, até 23:59",SANEAMENTO,
0019,2,COPASA,17281106000103,"Estendida, até 23:59",SANEAMENTO,
0022,2,COSANPA,4945341000190,"Estendida, até 23:59",SANEAMENTO,
0026,2,DAAE RIO CLARO,56401177000154,"Estendida, até 23:59",SANEAMENTO,
